car_name,category,price,miles,car_type,link,exterior_color,seller_type,ref_price,ref_miles,dealer_name,dealer_street,dealer_city,dealer_state,dealer_country,dealer_zip,dealer_phone,dealer_website,year,make,model,trim,vehicle_type,transmission,drivetrain,fuel_type,engine,engine_size,engine_block,doors,cylinders,antibrake_sys,tank_size,seats,free_miles,city_miles,photo_links
2015 Tesla Model S P85D,commuter,79991,35555,used,https://bramanporsche.com/inventory/used/Tesla+Model+S+P85D+West+Palm+Beach+Florida+2015+Titanium+Metallic+1734221,Titanium Metallic,dealer,79991,35555,Braman Motorcars,2801 Okeechobee Boulevard,West Palm Beach,FL,US,33409,561-615-4800,bramanporsche.com,2015,Tesla,Model S,P85D,Car,,,,ELECTRIC,n/a,n/a,4,no cylinders,4-Wheel ABS,no tank,5,97,94 miles/gallon,
2012 Tesla Model S,commuter,46790,31314,used,https://www.flemingtonporsche.com/used-Flemington-2012-Tesla-Model+S-Base-5YJSA1CN9CFP02276,Sequoia Green Metallic,dealer,46790,31314,Flemington Porsche,213 U.S. 202,Flemington,NJ,US,8822,908-782-2400,www.flemingtonporsche.com,2012,Tesla,Model S,Base,Car,Direct Drive,Rear Wheel Drive,Electric,ELECTRIC,n/a,n/a,4,no cylinders,,no tank,,90,88 miles/gallon,https://www.flemingtonporsche.com/assets/inventory/vehicles/5yjsa1cn9cfp02276/ip/1.jpg
2014 Tesla Model S Performance,commuter,,39407,used,http://veteransfordtampa.com/used-tesla-model-s-performance-2014-tampa-fl-00cj114a,Blue,dealer,,39407,Veterans Ford,7201 West Linebaugh Avenue,Tampa,FL,US,33625,800-832-5354,veteransfordtampa.com,2014,Tesla,Model S,85,Car,Direct Drive,Rear Wheel Drive,Electric,ELECTRIC,n/a,n/a,4,no cylinders,4-Wheel ABS,no tank,5,97,88 - 94 miles/gallon,
Pre Owned 2013 Tesla Model S 4dr Sdn Performance,commuter,47988,67973,used,http://www.mcgrathlex.com/VehicleDetails/used-2013-Tesla-Model_S-4dr_Sdn_Performance-Westmont-IL/3165815943,Red,dealer,47988,67973,Mcgrath Lexus Of Westmont,500 East Ogden Avenue,Westmont,IL,US,60559,(800) 773-3163,www.mcgrathlex.com,2013,Tesla,Model S,Performance,Car,Direct Drive,Rear Wheel Drive,Electric,ELECTRIC,n/a,n/a,4,no cylinders,4-Wheel ABS,no tank,5,90,88 miles/gallon,https://inventory-dmg.assets-cdk.com/chrome_jpgs/2013/15253.jpg
2014 Tesla Model S 85 kWh Battery Sedan,commuter,53703,43417,used,https://www.conicellihyundai.com/used/Tesla/2014-Tesla-Model+S-1775d6de0a0e0a6b40de81f5045961eb.htm,Black,dealer,53703,43417,Conicelli Hyundai,"West, 1208 Ridge Pike",Conshohocken,PA,US,19428,610-832-7911,www.conicellihyundai.com,2014,Tesla,Model S,85,Car,Direct Drive,Rear Wheel Drive,Electric,ELECTRIC,n/a,n/a,4,no cylinders,4-Wheel ABS,no tank,5,97,88 - 94 miles/gallon,https://pictures.dealer.com/c/conicellitoyotapreowned/1413/baed89b88896922b5d357e263238954cx.jpg?impolicy=resize&w=650
2015 Porsche 911 Carrera S,racer,90881,23329,used,https://porschemarin.com/inventory/certified/Porsche+911+Carrera+S+Mill+Valley+California+2015+Jet+Black+Metallic+1729951,Jet Black Metallic,dealer,90881,23329,Sonnen Porsche,900 Redwood Highway,Mill Valley,CA,US,94941,800-781-1730,porschemarin.com,2015,Porsche,911,Carrera S,Car,Manual,Rear Wheel Drive,Premium Unleaded,3.8L H6 DOHC 24V,3.8,H,2,6,4-Wheel ABS,16.9 gallon,4,27,19 miles/gallon,https://assets3.dealer-sites.com/images/thumbnail.php?type=inventory&id=1729951&imageid=845065489&num=1
2015 Porsche Cayenne Diesel,racer,53995,23416,used,https://www.fiatusaofnorthcharleston.com/certified/Porsche/2015-Porsche-Cayenne-6bc43d860a0e0ae85433d56719620650.htm,Black,dealer,53995,23416,Rick Hendrick Alfa Romeo FIAT,8355 Rivers Avenue,North Charleston,SC,US,29406,(866) 346-6995,www.fiatusaofnorthcharleston.com,2015,Porsche,Cayenne,Diesel,SUV,Automatic,All Wheel Drive,Diesel,3.0L V6 DOHC 24V DIESEL,3,V,4,6,4-Wheel ABS,26.4 gallon,5,29,20 miles/gallon,https://pictures.dealer.com/p/performanceporsche/1380/f27746a7855b11cb495be5cb727d6f00x.jpg?impolicy=resize&w=650
2015 Porsche 911 Carrera S,racer,89783,20262,used,https://porschemarin.com/inventory/certified/Porsche+911+Carrera+S+Mill+Valley+California+2015+White+1666095,White,dealer,89882,20262,Sonnen Porsche,900 Redwood Highway,Mill Valley,CA,US,94941,800-781-1730,porschemarin.com,2015,Porsche,911,Carrera S,Car,Manual,Rear Wheel Drive,Premium Unleaded,3.8L H6 DOHC 24V,3.8,H,2,6,4-Wheel ABS,16.9 gallon,4,27,19 miles/gallon,https://assets5.dealer-sites.com/images/thumbnail.php?type=inventory&id=1666095&imageid=794768373&num=1
2015 Porsche 911 Carrera Cabriolet,racer,80881,23425,used,https://porschemarin.com/inventory/certified/Porsche+911+Carrera+Cabriolet+Mill+Valley+California+2015+Black+1709117,Black,dealer,80881,23425,Sonnen Porsche,900 Redwood Highway,Mill Valley,CA,US,94941,800-781-1730,porschemarin.com,2015,Porsche,911,Carrera,Car,Manual,Rear Wheel Drive,Premium Unleaded,3.6L H6 DOHC 24V,3.6,H,2,6,4-Wheel ABS,16.9 gallon,4,27,19 miles/gallon,http://media.carbook.com/MediaGallery/media/MjgyOTUzXk1lZGlhIEdhbGxlcnk/2bkdgHhi-oka3RL6da_waku2Ad0tHBrLOvs2k16ELEiy2iEfOTcC7xos-jhw8hIbMUVbShWBh3s/cc_2015POR001a_01_1280_2T.png
2015 Porsche 911 Carrera,racer,76882,21866,used,https://porschemarin.com/inventory/certified/Porsche+911+Carrera+Mill+Valley+California+2015+Agate+Grey+Metallic+1676025,Agate Grey Metallic,dealer,76882,21866,Sonnen Porsche,900 Redwood Highway,Mill Valley,CA,US,94941,800-781-1730,porschemarin.com,2015,Porsche,911,Carrera,Car,Manual,Rear Wheel Drive,Premium Unleaded,3.6L H6 DOHC 24V,3.6,H,2,6,4-Wheel ABS,16.9 gallon,4,27,19 miles/gallon,https://assets1.dealer-sites.com/images/thumbnail.php?type=inventory&id=1676025&imageid=794772445&num=1
2015 Porsche 911 Carrera,racer,77788,9975,used,https://porschemarin.com/inventory/certified/Porsche+911+Carrera+Mill+Valley+California+2015+White+1631407,White,dealer,77888,9975,Sonnen Porsche,900 Redwood Highway,Mill Valley,CA,US,94941,800-781-1730,porschemarin.com,2015,Porsche,911,Carrera,Car,Manual,Rear Wheel Drive,Premium Unleaded,3.6L H6 DOHC 24V,3.6,H,2,6,4-Wheel ABS,16.9 gallon,4,27,19 miles/gallon,https://assets1.dealer-sites.com/images/thumbnail.php?type=inventory&id=1631407&imageid=748894331&num=1
2016 Porsche Panamera S,racer,72482,11520,used,https://porschemarin.com/inventory/certified/Porsche+Panamera+S+Mill+Valley+California+2016+Black+1699187,Black,dealer,72881,11520,Sonnen Porsche,900 Redwood Highway,Mill Valley,CA,US,94941,800-781-1730,porschemarin.com,2016,Porsche,Panamera,S,Car,Automated Manual,Rear Wheel Drive,Premium Unleaded,3.0L V6 DOHC 24V,3,V,4,6,4-Wheel ABS,21.1 gallon,4,27,17 miles/gallon,
2016 Porsche Panamera Edition,racer,65482,20207,used,https://porschemarin.com/inventory/certified/Porsche+Panamera+Edition+Mill+Valley+California+2016+Jet+Black+Metallic+1686275,Jet Black Metallic,dealer,65881,20207,Sonnen Porsche,900 Redwood Highway,Mill Valley,CA,US,94941,800-781-1730,porschemarin.com,2016,Porsche,Panamera,4,Car,Automated Manual,Rear Wheel Drive,Premium Unleaded,3.0L V6 DOHC 24V,3,V,4,6,4-Wheel ABS,21.1 gallon,4,28,18 miles/gallon,https://assets2.dealer-sites.com/images/thumbnail.php?type=inventory&id=1686275&imageid=801799619&num=1
2015 BMW 650 650i xDrive,racer,56000,19687,used,http://www.basilfordofniagarafalls.com/used/BMW/2015-BMW-650-4d350b5b0a0d04fe4a0bbf1857af609e.htm,Space Gray Metallic,dealer,56000,19687,Basil Ford of Niagara Falls,6980 Niagara Falls Boulevard,Niagara Falls,NY,US,14304,888-906-9740,www.basilfordofniagarafalls.net,2015,BMW,6 Series,650i xDrive,Car,Automatic,All Wheel Drive,Premium Unleaded,4.4L V8 DOHC 32V TURBO,4.4,V,2,8,4-Wheel ABS,18.5 gallon,4,25,16 miles/gallon,https://pictures.dealer.com/b/basilniagarafallsfordfd/0875/940704611c8859ee3461f27c9c11e2acx.jpg?impolicy=resize&w=650
2016 Porsche Cayman S,racer,69881,7588,used,https://porschemarin.com/inventory/certified/Porsche+Cayman+S+Mill+Valley+California+2016+Rhodium+Silver+Metallic+1683341,Rhodium Silver Metallic,dealer,69881,7588,Sonnen Porsche,900 Redwood Highway,Mill Valley,CA,US,94941,800-781-1730,porschemarin.com,2016,Porsche,Cayman,S,Car,Manual,Rear Wheel Drive,Premium Unleaded,3.4L H6 DOHC 24V,3.4,H,2,6,4-Wheel ABS,16.9 gallon,2,26,19 miles/gallon,http://media.carbook.com/MediaGallery/media/MjgyOTUzXk1lZGlhIEdhbGxlcnk/_iyEP4irj5o4GOY-mh3YfYklaVoQfAZ13YW8eDJe2wsuGVDn5dM9CT057lyqrj9QxoToomhJEmU/cc_2016PRC070003_01_1280_N0.png
